store_name,category,new_open,rating,visited_review,blog_review,store_id,address,business_hours,phone_num,lat_lng
공리,중식당,없음,4.54,"1,778","1,059",13150137,서울 강남구 선릉로129길 24,"수
11:00 - 22:00
21:30 라스트오더 /목
11:00 - 22:00
21:30 라스트오더 /금
11:00 - 22:00
21:30 라스트오더 /토
11:00 - 21:30
21:00 라스트오더 /일
11:00 - 21:30
21:00 라스트오더 /월
11:00 - 22:00
21:30 라스트오더 /화
11:00 - 22:00
21:30 라스트오더 /",0507-1319-7663,"{'x': 37.50247450814155, 'y': 127.04996016979987}"
연타발 압구정본점,"곱창,막창,양",없음,4.42,980,"1,034",13469576,서울 강남구 도산대로 231,"매일
11:30 - 22:00 /",02-545-4248,"{'x': 37.5215403, 'y': 127.0321571}"
진미평양냉면,냉면,없음,4.31,"4,464","5,678",37912785,서울 강남구 학동로 305-3,"수
11:00 - 21:30
21:10 라스트오더 /목
11:00 - 21:30
21:10 라스트오더 /금
11:00 - 21:30
21:10 라스트오더 /토
11:00 - 21:30
21:10 라스트오더 /일
11:00 - 21:30
21:10 라스트오더 /월
11:00 - 21:30
21:10 라스트오더 /화
11:00 - 21:30
21:10 라스트오더 /",02-515-3469,"{'x': 37.5161149, 'y': 127.0359218}"
아베크 청담,양식,없음,0.0,"1,012","3,303",1846214116,서울 강남구 선릉로 823 1층,"매일
11:30 - 02:00
16:30 - 18:00 브레이크타임
21:30 - 22:00 브레이크타임 /",0507-1368-5129,"{'x': 37.5256157, 'y': 127.0393203}"
을지다락 압구정도산공원,양식,없음,4.5,"3,293","2,765",1030343098,서울 강남구 언주로168길 25 2층,"수
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /목
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /금
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /토
11:30 - 21:15
20:30 라스트오더 /일
11:30 - 21:15
20:30 라스트오더 /월
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /화
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /",0507-1358-9197,"{'x': 37.5025569, 'y': 127.04257075000001}"
강남쪽갈비 강남구청역점,"육류,고기요리",없음,4.54,"1,271","1,460",42783747,서울 강남구 선릉로131길 24 1층,"수
14:00 - 02:00
01:15 라스트오더 /목
14:00 - 02:00
01:15 라스트오더 /금
14:00 - 02:00
01:15 라스트오더 /토
14:00 - 02:00
01:15 라스트오더 /일
정기휴무 (매주 일요일) /월
14:00 - 02:00
01:15 라스트오더 /화
14:00 - 02:00
01:15 라스트오더 /",0507-1382-4633,"{'x': 37.52010996951033, 'y': 127.04021882572701}"
샤블리 압구정로데오,샤브샤브,없음,0.0,318,335,1858356292,서울 강남구 압구정로48길 36 지하1층,"수
12:00 - 23:00
22:00 라스트오더 /목
12:00 - 23:00
22:00 라스트오더 /금
12:00 - 23:00
22:00 라스트오더 /토
12:00 - 23:00
22:00 라스트오더 /일
12:00 - 23:00
22:00 라스트오더 /월
12:00 - 23:00
22:00 라스트오더 /화
12:00 - 23:00
22:00 라스트오더 /",0507-1315-2621,"{'x': 37.52836348100263, 'y': 127.03837874133137}"
등촌샤브칼국수 강남구청역점,"칼국수,만두",없음,0.0,123,88,1234316241,서울 강남구 학동로 338 지하1층 SB112호,"수
11:00 - 21:30
15:30 - 17:00 브레이크타임
20:30 라스트오더 /목
11:00 - 21:30
15:30 - 17:00 브레이크타임
20:30 라스트오더 /금
11:00 - 21:30
15:30 - 17:00 브레이크타임
20:30 라스트오더 /토
11:00 - 21:30
20:30 라스트오더 /일
11:00 - 21:30
20:30 라스트오더 /월
11:00 - 21:30
15:30 - 17:00 브레이크타임
20:30 라스트오더 /화
11:00 - 21:30
15:30 - 17:00 브레이크타임
20:30 라스트오더 /",0507-1316-7625,"{'x': 37.516558, 'y': 127.0401685}"
믹솔로지,바(BAR),없음,4.5,79,189,37558842,서울 강남구 도산대로58길 18,"수
19:00 - 02:00
01:20 라스트오더 /목
19:00 - 02:00
01:20 라스트오더 /금
19:00 - 02:00
01:20 라스트오더 /토
19:00 - 02:00
01:20 라스트오더 /일
19:00 - 02:00
01:20 라스트오더 /월
19:00 - 02:00
01:20 라스트오더 /화
19:00 - 02:00
01:20 라스트오더 /",0507-1401-8216,"{'x': 37.5174697795379, 'y': 127.0225745132845}"
우블링 X 마마램,소고기구이,없음,4.61,798,"2,370",1561853968,서울 강남구 도산대로 406 청담퍼스트타워 1층 102호,"수
11:30 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더 /목
11:30 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더 /금
11:30 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더 /토
12:00 - 22:30
21:30 라스트오더 /일
12:00 - 22:30
21:30 라스트오더 /월
11:30 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더 /화
11:30 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더 /",0507-1355-5310,"{'x': 37.5228278, 'y': 127.0399922}"
