store_name,category,new_open,rating,visited_review,blog_review,store_id,address,business_hours,phone_num,lat_lng
하이보 위례점,중식당,없음,4.33,744,826,1017326460,"경기 성남시 수정구 위례광장로 310 우성트램타워 B동 3층 306호,307호,308호","매일
11:10 - 21:30
21:00 라스트오더 /",0507-1386-1018,"{'x': 37.472839, 'y': 127.1424342}"
우대포 위례본점,"육류,고기요리",없음,0.0,"5,536","2,929",1149142229,서울 송파구 위례광장로 120 155호,"화
16:30 - 22:30
21:40 라스트오더 /수
16:30 - 22:30
21:40 라스트오더 /목
16:30 - 22:30
21:40 라스트오더 /금
16:30 - 22:30
21:40 라스트오더 /토
11:30 - 22:30
15:00 - 16:30 브레이크타임
21:40 라스트오더 /일
11:30 - 22:30
15:00 - 16:30 브레이크타임
21:40 라스트오더 /월
16:30 - 22:30
21:40 라스트오더 /",0507-1370-8151,"{'x': 37.4750397, 'y': 127.14116}"
제줏간 위례중앙광장점,돼지고기구이,없음,0.0,"3,263","2,495",1690538184,서울 송파구 위례광장로 290 상가동 1층 145호~147호,"매일
12:00 - 24:00
23:00 라스트오더 /",0507-1382-2898,"{'x': 37.474597, 'y': 127.1432345}"
브루썸,"카페,디저트",없음,0.0,128,92,1564498825,경기 성남시 수정구 위례광장로 300 위례중앙타워 b06호 지하1층,"화
09:30 - 18:00
17:30 라스트오더 /수
11:00 - 18:00
17:30 라스트오더 /목
09:30 - 18:00
17:30 라스트오더 /금
09:30 - 18:00
17:30 라스트오더 /토
정기휴무 (매주 토요일) /일
정기휴무 (매주 일요일) /월
09:30 - 18:00
17:30 라스트오더 /",0507-1380-4686,"{'x': 37.473447300000004, 'y': 127.1427856187999}"
소주물 위례신도시점,"육류,고기요리",없음,0.0,"1,321",35,1800870077,"경기 성남시 수정구 위례광장로 104 1014호, 1015호","화
16:00 - 23:00
22:00 라스트오더 /수
16:00 - 23:00
22:00 라스트오더 /목
16:00 - 23:00
22:00 라스트오더 /금
16:00 - 23:00
22:00 라스트오더 /토
12:00 - 23:00
15:00 - 16:00 브레이크타임
22:00 라스트오더 /일
12:00 - 23:00
15:00 - 16:00 브레이크타임
22:00 라스트오더 /월
16:00 - 23:00
22:00 라스트오더 /",0507-1388-7108,"{'x': 37.4727099, 'y': 127.1415588}"
묘한식당,요리주점,없음,4.67,193,167,1965734293,경기 성남시 수정구 위례광장로 310 B동 120호,"매일
18:00 - 02:00 /",031-756-9997,"{'x': 37.472839, 'y': 127.1424342}"
모토이시 위례점,"육류,고기요리",없음,0.0,535,567,1424978030,서울 송파구 위례광장로 120 상가동 1층 156호,"화
16:00 - 24:00
23:00 라스트오더 /수
16:00 - 24:00
23:00 라스트오더 /목
16:00 - 24:00
23:00 라스트오더 /금
16:00 - 00:30
23:30 라스트오더 /토
13:00 - 00:30
23:30 라스트오더 /일
13:00 - 24:00
23:00 라스트오더 /월
16:00 - 24:00
23:00 라스트오더 /",0507-1355-8979,"{'x': 37.4750397, 'y': 127.14116}"
돈가옥 위례본점,"육류,고기요리",없음,0.0,734,184,1340817914,"경기 성남시 수정구 위례광장로 300 137, 138, 139호","화
11:30 - 22:30
14:30 - 16:30 브레이크타임
21:30 라스트오더 /수
11:30 - 22:30
14:30 - 16:30 브레이크타임
21:30 라스트오더 /목
11:30 - 22:30
14:30 - 16:30 브레이크타임
21:30 라스트오더 /금
11:30 - 22:30
14:30 - 16:30 브레이크타임
21:30 라스트오더 /토
11:30 - 22:30
15:00 - 16:30 브레이크타임
21:30 라스트오더 /일
11:30 - 22:30
15:00 - 16:30 브레이크타임
21:30 라스트오더 /월
11:30 - 22:30
14:30 - 16:30 브레이크타임
21:30 라스트오더 /",0507-1483-5959,"{'x': 37.473447300000004, 'y': 127.1427856187999}"
다온정샤브손칼국수,한식,없음,0.0,222,38,1353178049,서울 송파구 위례광장로 170 B동 1층 117호,"화
정기휴무 (매주 화요일) /수
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /목
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /금
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /토
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /일
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /월
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /",0507-1404-0875,"{'x': 37.4785738, 'y': 127.142863}"
장어야,"장어,먹장어요리",없음,4.51,815,366,1676127599,"서울 송파구 위례광장로 188 아이온스퀘어 1, 2층","화
11:30 - 22:00 /수
11:30 - 22:00 /목
11:30 - 22:00 /금
11:30 - 22:00 /토
11:30 - 22:00 /일
11:30 - 22:00 /월
11:30 - 22:00 /",02-431-9290,"{'x': 37.481226649999996, 'y': 127.14248774455531}"
