store_name,category,new_open,rating,visited_review,blog_review,store_id,address,business_hours,phone_num
을지다락 압구정도산공원,양식,없음,4.5,"3,271","2,752",1030343098,서울 강남구 언주로168길 25 2층,"목
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /금
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /토
11:30 - 21:15
20:30 라스트오더 /일
11:30 - 21:15
20:30 라스트오더 /월
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /화
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /수
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더 /",0507-1358-9197
진미평양냉면,냉면,없음,4.31,"4,455","5,664",37912785,서울 강남구 학동로 305-3,"목
11:00 - 21:30
21:10 라스트오더 /금
11:00 - 21:30
21:10 라스트오더 /토
11:00 - 21:30
21:10 라스트오더 /일
11:00 - 21:30
21:10 라스트오더 /월
11:00 - 21:30
21:10 라스트오더 /화
11:00 - 21:30
21:10 라스트오더 /수
11:00 - 21:30
21:10 라스트오더 /",02-515-3469
도산뚝배기 청담,한식,없음,4.72,"1,595","4,222",1202715954,서울 강남구 도산대로54길 18 1층,"매일
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:10 라스트오더 /",0507-1358-0950
타카이 청담점,일식당,없음,0.0,"3,773",384,1124306075,서울 강남구 학동로53길 19 1층,"목
11:30 - 24:00
23:00 라스트오더 /금
11:30 - 24:00
23:00 라스트오더 /토
12:00 - 24:00
23:00 라스트오더 /일
12:00 - 22:30
21:30 라스트오더 /월
11:30 - 24:00
23:00 라스트오더 /화
11:30 - 24:00
23:00 라스트오더 /수
11:30 - 24:00
23:00 라스트오더 /",02-3443-0321
아베크 청담,양식,없음,0.0,"1,011","3,302",1846214116,서울 강남구 선릉로 823 1층,"매일
11:30 - 02:00
16:30 - 18:00 브레이크타임
21:30 - 22:00 브레이크타임 /",0507-1368-5129
공리,중식당,없음,4.54,"1,778","1,058",13150137,서울 강남구 선릉로129길 24,"목
11:00 - 22:00
21:30 라스트오더 /금
11:00 - 22:00
21:30 라스트오더 /토
11:00 - 21:30
21:00 라스트오더 /일
11:00 - 21:30
21:00 라스트오더 /월
11:00 - 22:00
21:30 라스트오더 /화
11:00 - 22:00
21:30 라스트오더 /수
11:00 - 22:00
21:30 라스트오더 /",0507-1319-7663
밍글스,한식,없음,4.62,744,"1,510",35215752,서울 강남구 도산대로67길 19 힐탑빌딩 2층,"목
12:00 - 22:00
15:00 - 18:00 브레이크타임 /금
12:00 - 22:00
15:00 - 18:00 브레이크타임 /토
12:00 - 22:00
15:00 - 18:00 브레이크타임 /일
정기휴무 (매주 일요일) /월
정기휴무 (매주 월요일) /화
12:00 - 22:00
15:00 - 18:00 브레이크타임 /수
12:00 - 22:00
15:00 - 18:00 브레이크타임 /",02-515-7306
연타발 압구정본점,"곱창,막창,양",없음,4.42,979,"1,033",13469576,서울 강남구 도산대로 231,"매일
11:30 - 22:00 /",02-545-4248
청담 마코토,일식당,없음,0.0,"1,538","1,393",20451517,서울 강남구 압구정로80길 37 이에스빌딩 2층,"목
17:30 - 01:00 /금
17:30 - 01:00 /토
17:30 - 01:00 /일
17:00 - 24:00 /월
17:30 - 01:00 /화
17:30 - 01:00 /수
17:30 - 01:00 /",0507-1400-9218
다이닝 목로 압구정본점,요리주점,없음,0.0,"1,337","1,275",1006750348,서울 강남구 도산대로49길 6-7 1층 다이닝 목로 도산점,"목
16:00 - 24:00 /금
16:00 - 02:00 /토
16:00 - 02:00 /일
16:00 - 24:00 /월
16:00 - 24:00 /화
16:00 - 24:00 /수
16:00 - 24:00 /",0507-1327-5180
청담고수 청담점,"육류,고기요리",없음,4.17,899,"1,300",1008380466,서울 강남구 도산대로58길 15,"목
16:00 - 22:30 /금
16:00 - 22:30 /토
12:00 - 22:00 /일
12:00 - 22:00 /월
16:00 - 22:30 /화
16:00 - 22:30 /수
16:00 - 22:30 /",0507-1472-5529
